en,de,file
"Before you can start scheduling, you need to set up the basic configuration in injixo. Some of the basic configuration items are strictly required by injixo to create a schedule while others are optional, depending on the {% link_new scheduling methods | features/scheduling/scheduling-methods.md %} you want to use.","Bevor du mit der Schichtplanung beginnen kannst, musst du die Grundkonfiguration in injixo einrichten. Einige der Konfigurationselemente sind zwingend erforderlich, damit injixo einen Schichtplan erstellen kann, während andere optional sind, abhängig von der {% link_new Planungsmethode | features/scheduling/scheduling-methods.md %}.",set-up-base-configuration.md
## Configuration order,## Konfigurationsreihenfolge,set-up-base-configuration.md
We recommend setting up the configuration items in the order presented in the next section. Configuration items have interdependencies and can be assigned to one another. Follow the links in the table to learn more about each configuration item and how to configure them.,"Wir empfehlen, die Konfigurationselemente in der Reihenfolge einzurichten, wie sie in den nächsten beiden Abschnitten gezeigt wird. Konfigurationselemente hängen voneinander ab und können einander zugewiesen werden. Sieh dir die Links in den beiden Tabellen an, um mehr über die einzelnen Konfigurationselemente zu erfahren und wie sie jeweils konfiguriert werden.",set-up-base-configuration.md
"No configuration setup is the same, which is why the optimal order might be different for your organization.",Keine Konfiguration ist wie die andere.Deshalb kann die optimale Reihenfolge für dein Unternehmen anders aussehen.,set-up-base-configuration.md
Use this article as a checklist to support your onboarding.,Verwende diesen Artikel als ergänzende Checkliste für dein Onboarding.,set-up-base-configuration.md
Contact your consultant if you have any questions..,"Falls du Fragen hast, kontaktiere deinen Consultant..",set-up-base-configuration.md
### Required configuration elements,### Erforderliche Konfigurationselemente,set-up-base-configuration.md
"The table below gives an overview of the required configuration items you need to configure in injixo, regardless of the scheduling method you want to use.","Die folgende Tabelle enthält eine Übersicht über die erforderlichen Konfigurationselemente, die du in injixo einrichten musst, unabhängig von der Planungsmethode.",set-up-base-configuration.md
<table>,<table>,set-up-base-configuration.md
<colgroup>,<colgroup>,set-up-base-configuration.md
"<col style=""width: 25%;"">","<col style=""width: 25%;"">",set-up-base-configuration.md
"<col style=""width: 75%;"">","<col style=""width: 75%;"">",set-up-base-configuration.md
</colgroup>,</colgroup>,set-up-base-configuration.md
<thead>,<thead>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<th>Configuration item</th>,<th>Konfigurationselement</th>,set-up-base-configuration.md
<th>Description</th>,<th>Beschreibung</th>,set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
</thead>,</thead>,set-up-base-configuration.md
<tbody>,<tbody>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<td>{% link_new Skills | features/administration/work-with-skills.md %}</td>,<td>{% link_new Qualifikationen | features/administration/work-with-skills.md %}</td>,set-up-base-configuration.md
