en,de,article
Terminology,Terminologie,index.md
{% include terminology.html %},{% include terminology.html %},index.md
Features,Features,index.md
Perfect your use of injixo.,Nutze das volle Potenzial von injixo.,index.md
"Don’t know what a button does? Unsure how to perform a certain action in injixo? Or maybe just curious about the full capability of a specific feature? This section provides clear, concise and hands-on instructions on how to become an injixo expert in no time.","Dir ist nicht klar, was ein bestimmter Button bewirkt oder wie man eine bestimmte Aktion in injixo ausführt? Vielleicht willst Du auch wissen, was mit einem konkreten Feature in injixo generell alles möglich ist? Hier erhältst Du kurze, praktische Anleitungen, mit denen Du in kürzester Zeit zum injixo Experten wirst.",index.md
## Recommended articles in Features,## Empfohlene Artikel in Features,index.md
- {% link_new How do integrations work? | features/acd-integration/cloud/how-integrations-work.md %},- {% link_new Wie funktionieren Integrationen? | features/acd-integration/cloud/how-integrations-work.md %},index.md
- {% link_new What is injixo Forecast? | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %},- {% link_new Was ist injixo Forecast? | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %},index.md
- {% link_new Scheduling methods | features/scheduling/scheduling-methods.md %},- {% link_new Planungsmethoden | features/scheduling/scheduling-methods.md %},index.md
- {% link_new Scheduling periods | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %},- {% link_new Was sind Planperioden? | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %},index.md
- {% link_new Create activities | features/administration/activities.md %},- {% link_new Aktivitäten anlegen | features/administration/activities.md %},index.md
- {% link_new Create day models | features/administration/daymodels/daymodel-creation.md %},- {% link_new Tagesmodelle anlegen | features/administration/daymodels/daymodel-creation.md %},index.md
- {% link_new Create and configure employees | features/administration/employee-overview.md %},- {% link_new Mitarbeiter verwalten | features/administration/employee-overview.md %},index.md
Average speed of answer,Bedarf mit durchschnittlicher Antwortzeit (ASA),requirement-asa.md
Calculate employee requirements based on an average speed of answer goal.,"Das Bedarfsskript _Anrufe - Durchschnittliche Antwortgeschwindigkeit_ berechnet die Anzahl der Mitarbeiter, die erforderlich ist, um Dein Serviceziel basierend auf der durchschnittlichen Antwortzeit (ASA) zu erreichen. Die ASA ist die durchschnittliche Wartezeit, bevor ein Anruf beantwortet wird. Das Skript berechnet die Anzahl der Mitarbeiter, für die die durchschnittliche Antwortzeit niedriger ist als der angegebene Zielwert.",requirement-asa.md
"In this article, you will learn how to configure and run the _Calls - Average Speed of Answer_ requirement script.",{% include reusables/{{ page.lang }}/scripts/cloud-other-method.md %},requirement-asa.md
## What is the script for?,{% include reusables/{{ page.lang }}/scripts/cloud-prerequisites.md %},requirement-asa.md
The _Calls - Average Speed of Answer_ requirement script calculates the minimum number of employees required to achieve your service goal based on the Average Speed of Answer (ASA). The ASA is the average waiting time before a call is answered.,{% include reusables/{{ page.lang }}/scripts/on-prem-usage.md %}{% include reusables/{{ page.lang }}/scripts/on-prem-forecast-required.md %},requirement-asa.md
## Prerequisites,## Verfügbare Parameter,requirement-asa.md
{% include reusables/{{ page.lang }}/scripts/cloud-prerequisites.md %},Die Skriptoberfläche ist in mehrere Abschnitte unterteilt.,requirement-asa.md
## Run the script,"{{ 1 | image: 'ASA Script UI', '50%' }}",requirement-asa.md
1. Select the script **Calls - Average Speed of Answer** from the drop-down menu **Select a requirement script** at the bottom of the workload page.,{% include reusables/{{ page.lang }}/scripts/steps/start-calculation.md %},requirement-asa.md
2. {% include reusables/{{ page.lang }}/scripts/steps/queue.md %},### Queue-Parameter,requirement-asa.md
3. {% include reusables/{{ page.lang }}/scripts/steps/processes.md %},1. {% include reusables/{{ page.lang }}/scripts/steps/queue.md %},requirement-asa.md
