en,es,file
What are user roles?,¿Qué son los roles de usuario?,configure-user-roles.md
"A group of users with the same set of permissions and access level to the products and features in injixo, e.g. _Forecast_{:.menu-item}, or to the features in WFM, e.g. _WFM > Administration_{:.breadcrumbs} has the same user role.","Un rol de usuario engloba un grupo de usuarios con el mismo conjunto de permisos y nivel de acceso a los productos y funcionalidades de injixo, como _Forecast_{:.menu-item}, o a las funcionalidades de WFM, como _WFM > Gestión_{:.breadcrumbs}.",configure-user-roles.md
"injixo has role categories, each with one {% link_new default user role | getting-started/default-user-roles.md | #default-user-roles %} with preset permissions.","En injixo existen categorías de roles, cada una con {% link_new rol de usuario predeterminado | getting-started/default-user-roles.md | #roles-de-usuario-predeterminados %} con permisos predefinidos.",configure-user-roles.md
"When you add a new user role within a role category, it has the same permissions to the products and features as the default user role in that role category.<br>.","Cuando añades un nuevo rol de usuario a una categoría de roles, este tendrá los mismos permisos para productos y funcionalidades que el rol de usuario predeterminado.<br>.",configure-user-roles.md
The **Other** role category does not have a default user role.,La categoría de rol **Otro** no incluye ningún rol de usuario predeterminado.,configure-user-roles.md
View and organize user roles,Consultar y organizar los roles de usuario,configure-user-roles.md
Go to _Account > User roles_{:.breadcrumbs}.,Ve a _Account > Roles de usuario_{:.breadcrumbs}.,configure-user-roles.md
User roles are grouped into role categories (e.g. the **Planner** role category).,Los roles de usuario se agrupan en categorías de roles (p.&nbsp;ej. **Planificador**).,configure-user-roles.md
The role categories can help to keep permissions organized.,Las categorías de roles te ayudan a mantener los permisos organizados.,configure-user-roles.md
You can drag and drop a user role from one role category to another or use the search to find user roles by name.,Puedes arrastrar y soltar un rol de usuario de una categoría de roles a otra o usar la búsqueda para buscar roles de usuario por nombre.,configure-user-roles.md
Permissions for new functionalities,Permisos para nuevas funcionalidades,configure-user-roles.md
>,>,configure-user-roles.md
Permissions for new injixo functionalities are automatically assigned to user roles depending on their role category.,Los permisos para las nuevas funcionalidades de injixo se asignan automáticamente a los roles de usuario de acuerdo con su categoría de roles.,configure-user-roles.md
"For example, a new functionality for planners will be accessible to all user roles in the **Planner** role category.","Por ejemplo, una nueva funcionalidad para planificadores será accesible para todos los roles de usuario en la categoría de roles **Planificador**.",configure-user-roles.md
"If you have moved a user role from the **Planner** role category to another role category, it will no longer automatically get permissions for new **Planner** functionality.","Si has movido un rol de usuario de la categoría de roles **Planificador** a otra categoría de roles, ya no se le asignarán automáticamente permisos de la categoría **Planificador** para la nueva funcionalidad.",configure-user-roles.md
"If needed, a user with Admin access can add the permissions to the user role manually.<br> The same applies to user roles in the **Other** role category: their permissions always need to be added manually.","En caso necesario, un usuario con acceso de administrador puede asignarle los permisos al rol de usuario manualmente.<br> Lo mismo ocurre con los roles de usuario en la categoría de roles **Otro**: sus permisos siempre tienen que ser asignados manualmente.",configure-user-roles.md
Create a new user role,Crear un nuevo rol de usuario,configure-user-roles.md
1.,1.,configure-user-roles.md
Click the {% icon blue_plus %} in any role category.,Haz clic en el icono Crear un nuevo rol {% icon blue_plus | icon-only %}  en cualquier categoría de roles.,configure-user-roles.md
**Other** role category: Creates a blank user role. There are no default permissions set.,Categoría de roles **Otro**: se crea un rol vacío sin permisos predeterminados.,configure-user-roles.md
link_new Default role | getting-started/default-user-roles.md %} categories: Default permissions for injixo components are pre-selected.,link_new Categorías de roles | getting-started/default-user-roles.md %} predeterminadas: los permisos predeterminados para los componentes de injixo están preseleccionados.,configure-user-roles.md
Permissions to WFM features are not set.,No se definen permisos para las funcionalidades de WFM.,configure-user-roles.md
Note,Atención,configure-user-roles.md
>,>,configure-user-roles.md
"When you create a new user role, you need to manually [set permissions to the features in WFM](#set-wfm-permissions).","Cuando creas un nuevo rol de usuario, tienes que [configurar los permisos para las funciones de WFM](#configurar-permisos-para-wfm) manualmente.",configure-user-roles.md
"2. On the **Create user role** page, configure the user role:","2. En la página **Crear rol de usuario**, configura el rol de usuario:",configure-user-roles.md
