en,es,article
Perfect your use of injixo.,Perfecciona tu uso de injixo.,index.md
"Don’t know what a button does? Unsure how to perform a certain action in injixo? Or maybe just curious about the full capability of a specific feature? This section provides clear, concise and hands-on instructions on how to become an injixo expert in no time.","¿No sabes para qué sirve un botón? ¿No sabes cómo realizar una acción concreta en injixo? ¿Quieres descubrir todo el potencial de una funcionalidad? Esta sección te ofrece instrucciones claras, concisas y prácticas para dominar injixo rápidamente.",index.md
## Recommended articles in Features,## Artículos recomendados en Funcionalidades,index.md
- {% link_new How do integrations work? | features/acd-integration/cloud/how-integrations-work.md %},- {% link_new Cómo funcionan las integraciones | features/acd-integration/cloud/how-integrations-work.md %},index.md
- {% link_new What is injixo Forecast? | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %},- {% link_new Qué es injixo Forecast | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %},index.md
- {% link_new Scheduling methods | features/scheduling/scheduling-methods.md %},- {% link_new Métodos de planificación | features/scheduling/scheduling-methods.md %},index.md
- {% link_new Scheduling periods | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %},- {% link_new Períodos de planificación | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %},index.md
- {% link_new Create activities | features/administration/activities.md %},- {% link_new Crear actividades | features/administration/activities.md %},index.md
- {% link_new Create day models | features/administration/daymodels/daymodel-creation.md %},- {% link_new Crear modelos de horario | features/administration/daymodels/daymodel-creation.md %},index.md
- {% link_new Create and configure employees | features/administration/employee-overview.md %},- {% link_new Crear y configurar empleados | features/administration/employee-overview.md %},index.md
"To create, edit or delete workloads, go to _Forecast_{:.breadcrumbs}.","Para crear, editar o eliminar cargas de trabajo, ve a _Forecast_{:.breadcrumbs}.",manage-workloads.md
