en,fr,article
{% include terminology.html %},{% include terminology.html %},index.md
Perfect your use of injixo.,Améliorez votre utilisation d’injixo.,index.md
"Don’t know what a button does? Unsure how to perform a certain action in injixo? Or maybe just curious about the full capability of a specific feature? This section provides clear, concise and hands-on instructions on how to become an injixo expert in no time.","Vous vous demandez à quoi sert tel ou tel bouton&nbsp;? Vous avez un doute sur la procédure à suivre pour effectuer une action en particulier&nbsp;? Vous souhaitez simplement en savoir plus sur le potentiel d’une fonctionnalité particulière&nbsp;? Cette section vous fournira des instructions claires, concises et pratiques pour optimiser rapidement votre utilisation d’injixo.",index.md
## Recommended articles in Features,## Articles recommandés,index.md
- {% link_new How do integrations work? | features/acd-integration/cloud/how-integrations-work.md %},- {% link_new Comment fonctionnent les intégrations&nbsp;? | features/acd-integration/cloud/how-integrations-work.md %},index.md
- {% link_new What is injixo Forecast? | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %},- {% link_new Vue d’ensemble d’injixo Forecast | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %},index.md
- {% link_new Scheduling methods | features/scheduling/scheduling-methods.md %},- {% link_new Méthodes de planification | features/scheduling/scheduling-methods.md %},index.md
- {% link_new Scheduling periods | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %},- {% link_new Périodes de planification | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %},index.md
- {% link_new Create activities | features/administration/activities.md %},- {% link_new Créer des activités | features/administration/activities.md %},index.md
- {% link_new Create day models | features/administration/daymodels/daymodel-creation.md %},- {% link_new Créer des modèles horaires | features/administration/daymodels/daymodel-creation.md %},index.md
- {% link_new Create and configure employees | features/administration/employee-overview.md %},- {% link_new Employés | features/administration/employee-overview.md %},index.md
New to injixo Forecast? Learn {% link_new the basics | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %} first.,Vous débutez avec injixo Forecast&nbsp;? Commencez avec les {% link_new concepts fondamentaux | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %}.,forecast-activate-business-hours.md
"By default, workloads do not observe business hours and forecasts consider all volumes throughout the day.","Par défaut, les workloads ne prennent pas en compte les horaires d’ouverture et les prévisions prennent en compte l’ensemble des volumes sur toute la journée.",forecast-activate-business-hours.md
injixo Classic only supports business hours in Smart workloads.,injixo Classic supporte uniquement les horaires d’ouverture pour les workloads Smart.,forecast-activate-business-hours.md
## How do business hours impact the forecast calculation?,## Quel est l’impact des horaires d’ouverture sur le calcul de la prévision&nbsp;?,forecast-activate-business-hours.md
"If you activate business hours in a workload, injixo:","Si vous activez les horaires d’ouverture sur un workload, injixo&nbsp;:",forecast-activate-business-hours.md
- intersects the business hours from the assigned planning unit and activity. Any interval within this period counts as open.,- superpose les horaires d’ouverture de l’unité opérationnelle et de l’activité assignée. Tout intervalle compris dans cette période est comptabilisé comme intervalle ouvert.,forecast-activate-business-hours.md
- distributes any volumes outside business hours to a period within the business hours. The total daily volume does not change. The distribution is relative to existing interval values and thus follows the forecasted intraday pattern. Volumes outside business hours become 0.,- redistribue tous les volumes non compris dans les horaires d’ouverture sur une période incluse dans les horaires d’ouverture. Le volume total journalier reste le même. La distribution est relative aux valeurs des intervalles existants et suit donc le modèle intra-journalier prévu. Les volumes en dehors des horaires d’ouverture sont supprimés.,forecast-activate-business-hours.md
- sets any forecasted average handling time values outside business hours to 0.,- définit les valeurs du temps moyen de traitement prévu en dehors des horaires d’ouverture comme étant égales à 0.,forecast-activate-business-hours.md
## Activate business hours,## Ajuster aux horaires d’ouverture,forecast-activate-business-hours.md
"To include outside business hours volumes into the forecast calculation, activate business hours separately in each workload.","Pour inclure les volumes en dehors des horaires d’ouverture dans le calcul de la prévision, activez les horaires d’ouverture sur chaque workload individuellement.",forecast-activate-business-hours.md
1. Go to _Forecast_{:.menu-item}.,1. Accédez à _Forecast_{:.menu-item}.,forecast-activate-business-hours.md
"2. Select a workload, using one of the following options:",2. Sélectionnez un workload à l’aide des options suivantes&nbsp;:,forecast-activate-business-hours.md
   - Select the workload from the drop-down menu on top.,   - Sélectionnez le workload depuis la liste déroulante en haut de la page.,forecast-activate-business-hours.md
   - Type the workload name in the search field.,   - Saissez le nom du workload dans le champ de recherche.,forecast-activate-business-hours.md
   - Click the workload in the list.,   - Cliquez sur le workload dans la liste.,forecast-activate-business-hours.md
3. Click _Edit Workload_{:.doc-button}.,3. Cliquez sur _Éditer_{:.doc-button}.,forecast-activate-business-hours.md
4. Select a **planning unit** and an **activity**.,4. Sélectionnez une **unité opérationnelle** et une **activité**.,forecast-activate-business-hours.md
5. Check the **Forecast within business hours only** checkbox.,5. Cochez la case **Prévision ajustée aux horaires d’ouverture**.,forecast-activate-business-hours.md
6. Click _Save workload_{:.doc-button}.,6. Cliquez sur _Sauvegarder_{:.doc-button}.,forecast-activate-business-hours.md
   injixo will calculate a new forecast. The calculation can take some time.,   injixo calculera alors une nouvelle prévision. Le calcul peut prendre un certain temps.,forecast-activate-business-hours.md
Important: Configure valid business hours and activities in the selected planning unit for the forecast period to ensure forecast generation. Remove or change the {% link_new Valid from or Valid to entries | features/administration/set-a-validity-period.md %} if necessary.,"Remarque importante&nbsp;: pour garantir le bon calcul de la prévision, paramétrez des horaires d’ouverture et des activités valides dans l’unité opérationnelle sélectionnée pour la prévision. Supprimez ou modifiez les {% link_new champs valide du/jusqu’au | features/administration/set-a-validity-period.md %} si nécessaire.",forecast-activate-business-hours.md
## How are business hours displayed?,## Comment s’affichent les horaires d’ouverture&nbsp;?,forecast-activate-business-hours.md
injixo Forecast displays business hours using an orange bar in daily view:,injixo Forecast affiche les horaires d’ouverture à l’aide d’une barre horizontale orange dans la vue journalière&nbsp;:,forecast-activate-business-hours.md
"{{ 1 | image: ""Orange bar indicating activated business hours in a workload"", '80%' }}","{{ 1 | image: ""Barre orange indiquant l’activation des horaires d’ouverture dans un workload"", '80%' }}",forecast-activate-business-hours.md
Note: Additional {% link_new user rights | getting-started/configure-user-roles.md %} for the planning unit's planning calendar may be required to display the orange bar for opening hours. Go to _WFM > Administration > System > Role Authorization_{:.breadcrumbs} and add rights for the planning calendar to the affected user or user group.,Remarque&nbsp;: des {% link_new droits utilisateur  | getting-started/configure-user-roles.md %} supplémentaires sur l’unité opérationnelle peuvent être nécessaires pour afficher la barre orange indiquant les horaires d’ouverture. Accédez à _WFM > Administration > Système > Droits d’accès des rôles d’utilisateurs_{:.breadcrumbs} et ajoutez des droits sur le calendrier de planification à l’utilisateur ou au groupe d’utilisateurs concerné.,forecast-activate-business-hours.md
"injixo Forecast combines your historical data with algorithms to generate high-quality forecasts. The algorithms recognize trends, patterns, and fluctuations included in your data. injixo Forecast uses many types of algorithms, such as ARIMA, Holt-Winters, exponential smoothing, regression, or gradient boosting.","injixo Forecast combine vos données historiques à l’algorithme le mieux adapté pour générer des prévisions de haute qualité. L’algorithme reconnaît les tendances, les schémas et les fluctuations que contiennent vos données. injixo Forecast utilise de nombreux types d’algorithmes, comme ARIMA, la méthode de Holt-Winters, le lissage exponentiel, la régression ou l’amplification de gradient.",what-is-the-injixo-forecast.md
injixo Forecast automatically selects the algorithm best suited to your data. injixo generates a forecast for 365 days into the future after the data import.,"injixo Forecast sélectionne automatiquement l’algorithme le mieux adapté à vos données. La prévision est générée pour 365 jours et peut être affichée en vue journalière, hebdomadaire, mensuelle ou annuelle.",what-is-the-injixo-forecast.md
injixo Essential WFM uses a basic algorithm that uses simple average values in the historical data to recognize a long-term linear trend and weekly patterns.,injixo Essential WFM utilise un algorithme simple qui utilise de valeurs moyennes simples des données historiques pour reconnaître une tendance linéaire à long terme et des tendances hebdomadaires.,what-is-the-injixo-forecast.md
## Generate a forecast,## Calculer une prévision,what-is-the-injixo-forecast.md
Check our quick start guide to learn how to {% link_new generate a forecast | getting-started/calculate-a-forecast.md %}. Each new data import updates the generated forecast. injixo Essential WFM only generates a new forecast once a week.,Consultez notre guide de démarrage rapide pour apprendre à {% link_new générer une prévision | getting-started/calculate-a-forecast.md %}. Chaque nouvel import de données met à jour la prévision générée. injixo Essential WFM génère uniquement une nouvelle prévision une fois par semaine.,what-is-the-injixo-forecast.md
"Note: If your generated forecast only shows repeated weekly patterns, it still may be the optimal forecast. In this case, the algorithm captures short-term patterns (for non-repeating fluctuations) and rates long-term patterns as irrelevant. Fluctuations in the historical data are not always patterns.","Remarque&nbsp;: même si la prévision générée affiche uniquement des tendances récurrentes hebdomadaires, il peut s'agir de la prévision optimale. Dans ce cas, l’algorithme capture des tendances à court terme (pour les fluctuation non récurrentes) et considère les tendances à long terme comme non pertinentes. Les fluctuations des données historiques ne sont pas toujours des tendances.",what-is-the-injixo-forecast.md
## Data requirements,## Données nécessaires,what-is-the-injixo-forecast.md
