en,it,article
Terminology,Terminologia,index.md
{% include terminology.html %},{% include terminology.html %},index.md
Outbound calls script,Script per le chiamate in uscita,outbound-calls-script.md
Calculate staff requirements for outbound calls.,Calcola il fabbisogno di personale per le chiamate in uscita.,outbound-calls-script.md
"Use the Outbound calls requirement script to calculate staff requirements for campaigns with outgoing calls. The calculation is based on the total number of contacts addressed in the campaign, the campaign duration, and the expected average handle time (AHT).","Utilizza lo script per le chiamate in uscita per calcolare il fabbisogno di personale per le campagne con chiamate in uscita. Il calcolo si basa sul totale di contatti gestiti nella campagna, sulla durata della campagna e sul tempo medio di gestione (AHT) previsto.",outbound-calls-script.md
## Prerequisites,## Prerequisiti,outbound-calls-script.md
"To calculate staff requirements with a forecasted call distribution, start by exporting the forecast:","Per calcolare il fabbisogno di personale con una previsione sulla distribuzione delle chiamate, devi prima esportare la previsione:",outbound-calls-script.md
"1. In _Forecast > Workloads_{:.breadcrumbs}, select a workload.","1. In _Forecast > Workload_{:.breadcrumbs}, seleziona un workload.",outbound-calls-script.md
"2. Select the time frame using the date picker. Click on a week number to select the whole week, or click any day and drag to select a period shorter or longer than a week.","2. Seleziona il periodo nel selettore di data. Clicca sul numero della settimana per selezionare la settimana per intero, oppure clicca e trascina per selezionare un periodo più breve o più lungo.",outbound-calls-script.md
"3. From the {% icon ellipsis_v %} at the top right, select **Use forecast**.","3. Dal {% icon ellipsis_v %} in alto a destra, seleziona **Utilizza previsione**.",outbound-calls-script.md
"4. In the **Use this forecast to calculate staff requirements** window, select the forecast you want to use.","4. Nella finestra **Utilizza questa previsione per calcolare il fabbisogno di personale**, seleziona la previsione che vuoi utilizzare.",outbound-calls-script.md
5. Click _Use forecast_{:.doc-button}.,5. Clicca su _Utilizza previsione_{:.doc-button}.,outbound-calls-script.md
6. Click _Close_{:.doc-button}.,6. Clicca su _Chiudi_{:.doc-button}.,outbound-calls-script.md
"Alternatively, you can use the Outbound calls requirement script to calculate staff requirements without a forecast. Learn how to configure the parameters accordingly in the [Campaign Data section table](#campaign-data-section).","In alternativa, puoi utilizzare lo script per le chiamate in uscita per calcolare il fabbisogno di personale senza nessuna previsione. Scopri come configurare i parametri per farlo nella tabella relativa alla sezione [Dati della campagna](#sezione-dati-della-campagna).",outbound-calls-script.md
## Configure the script,## Configurare lo script,outbound-calls-script.md
1. Go to _Forecast > Requirement Scripts_{:.breadcrumbs}.,1. Vai su _Forecast > Script di fabbisogno_{:.breadcrumbs}.,outbound-calls-script.md
"2. In the **Calls-Outbound** tile, click _Open_{:.doc-button}.","2. Nel riquadro **Chiamate in uscita - Outbound**, clicca su _Apri_{:.doc-button}.",outbound-calls-script.md
The script configuration window includes three sections. Learn how to configure the parameters in the tables below.,La finestra di configurazione dello script include tre sezioni. Scopri come configurare i parametri nelle tabelle seguenti.,outbound-calls-script.md
### Campaign Data section,### Sezione Dati della campagna,outbound-calls-script.md
| Parameter                    | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |,| Parametro                    | Descrizione                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |,outbound-calls-script.md
|------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|,|------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|,outbound-calls-script.md
| Queue                        | Select the queue for which you want to use the script.                                                                                                                                                                                                                                                                                                                                                                                                                                                              |,| Servizio                        | Seleziona la coda per la quale vuoi utilizzare lo script.                                                                                                                                                                                                                                                                                                                                                                                                                                                              |,outbound-calls-script.md
| Records                      | The total number of target contacts for your campaign. Select **fixed** and enter a value in the field below to calculate staff requirements without a forecast. Select **variable** and select a value type with forecasted target contacts.                                                                                                                                                                                                                                                                                                                                                                                                                                                             |,| Record                      | Il numero totali di contatti per la tua campagna. Seleziona **fisso** e inserisci un valore nel campo sottostante per calcolare il fabbisogno di personale senza una previsione. Seleziona **variabile** e seleziona un tipo di valore con una previsione sui contatti da raggiungere.                                                                                                                                                                                                                                                                                                                                                                                                                                                             |,outbound-calls-script.md
| Contact rate (%)             | The percentage of answered outgoing calls.                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |,| Valutazione contatto (%) (tasso di connessione)             | La percentuale di chiamate in uscita che ricevono risposta.                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |,outbound-calls-script.md
| Redial rate (%)              | The percentage of contacts that are attempted again after unsuccessful attempts. The redial attempts are distributed over the date range you configure with the **Start date** and **End date** parameters. Learn more about the redial rate in the [dedicated section below](#what-is-the-redial-rate). |,| Tasso di ricomposizione (%)              | La percentuale di contatti che vengono richiamati dopo dei tentativi infruttuosi. I tentativi di ricomposizione sono distribuiti lungo tutto il periodo che configuri con i parametri **Data d’inizio** e **Data di fine**. Per saperne di più sul tasso di ricomposizione vai alla [sezione dedicata](#che-cosè-il-tasso-di-ricomposizione). |,outbound-calls-script.md
| Start date                   | Beginning of the date range for the calculation.                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |,| Data d’inizio                   | L’inizio del periodo utilizzato per il calcolo.                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |,outbound-calls-script.md
"| End date                     | The end of the date range for the calculation. Select **Date** and enter a date in the field below, or select **Campaign Duration Days** and enter a value in the field below.                                                                                                                                                                                                                                                                                                                                                                                                                                                  |","| Data di fine                     | La fine del periodo utilizzato per il calcolo. Seleziona **Data** e inserisci una data nel campo sottostante, o seleziona **Giorni durata della campagna** e inserisci un valore nel campo sottostante.                                                                                                                                                                                                                                                                                                                                                                                                                                                  |",outbound-calls-script.md
"| Right party connect rate (%) | The percentage of calls that are answered by the intended people. Select **fixed** and enter a value in the field below, or select **variable** and select a value type with forecasted right party connect rate.                                                                                                                                                                                                                                                             |","| Valutazione collegamento parte giusta (%) (tasso di connessioni riuscite) | La percentuale di chiamate alle quali rispondono gli interlocutori desiderati. Seleziona **fisso** e inserisci un valore nel campo sottostante, o seleziona **variabile** e seleziona un tipo di valore con una previsione sul tasso di connessioni riuscite.                                                                                                                                                                                                                                                             |",outbound-calls-script.md
"| Shrinkage (%)                | (Optional) The percentage of paid time during which people are not available to handle contacts, due to, for example, unscheduled breaks or sick leaves.     |","| Riduzione (%)                | (Facoltativo) La percentuale di ore lavorative retribuite durante la quale i dipendenti non sono disponibili a gestire i contatti, per esempio a causa di pause o assenze per malattia non pianificate.     |",outbound-calls-script.md
### Average Handling Time section,### Sezione Durata media di gestione,outbound-calls-script.md
| Parameter        | Description                                                                                                                                                                                                                                                                                                                                                  |,| Parametro        | Descrizione                                                                      |,outbound-calls-script.md
|------------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|,|------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------|,outbound-calls-script.md
"| fixed/variable   | Select **fixed** and enter fixed values in the fields below, or select **variable** and select value types in the fields below.                                                                                                                                                                                                                         |","| fisso/variabile   | Seleziona **fisso** e inserisci dei valori fissi nei campi sottostanti, oppure seleziona **variabile** e inserisci dei tipi di valori nei campi sottostanti.                                                                                                                                                                                                                         |",outbound-calls-script.md
"| RPC in seconds   | AHT, in seconds, for a call with the right contact person. This value includes the after-call work.                                                                                                                                                                                                                                                       |","| RPC espresso in secondi   | L’AHT, espresso in secondi, per una chiamata con l’interlocutore desiderato. Questo valore include l’elaborazione post-chiamata.                                                                                                                                                                                                                                                       |",outbound-calls-script.md
"| WPC in seconds   | AHT, in seconds, for a call answered by the wrong party, such as a call that is answered by the wrong contact person or a call that is forwarded to voicemail.                                                                                                                                                                                          |","| WPC espresso in secondi   | L’AHT, espresso in secondi, per una chiamata a cui risponde l’interlocutore sbagliato, per esempio una chiamata a cui risponde un’altra persona o una chiamata che viene inoltrata alla segreteria telefonica.              |",outbound-calls-script.md
### Employee workload section,### Sezione Carico di lavoro,outbound-calls-script.md
| Parameter        | Description                                                                                                                                                                                                      |,| Parametro        | Descrizione                                                                                                                                                                                                      |,outbound-calls-script.md
|------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|,|------------------|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|,outbound-calls-script.md
"| Planning Unit    | The planning unit for which you want to calculate the staff requirements. If you change the planning unit, the **Activity** drop-down menu updates and displays all the activities assigned to the planning unit. |","| Unità pianificativa    | L’unità pianificativa per la quale vuoi calcolare il fabbisogno di personale. Se cambi l’unità di pianificazione, il menu a tendina **Attività** viene aggiornato con le attività assegnate all’unità di pianificazione. |",outbound-calls-script.md
