en,nl,article
Create workloads,Workloads aanmaken,manage-workloads.md
Create workloads to represent historical and forecasted contact volume and AHT. Learn about the different workload types.,Maak workloads aan die het historische en voorspelde contactvolume en AHT weergeven. Kom meer te weten over de verschillende workloadtypen.,manage-workloads.md
"To create, edit or delete workloads, go to _Forecast_{:.breadcrumbs}.","Ga naar _Forecast_{:.breadcrumbs} om workloads aan te maken, te bewerken of te verwijderen.",manage-workloads.md
"Workloads map the input channels of your external system, which records the details of your customer interactions. Based on imported contact data stored in queues, injixo Forecast will calculate a forecast for the workload. Configurable events, holidays, or opening hours influence the forecast result. You can also {% link_new import your forecast | features/forecast/injixo-forecast/import-forecast.md %} into workloads.","Workloads brengen de inputkanalen van je externe systeem in kaart, dat de gegevens van je klantinteracties registreert. injixo Forecast gebruikt geïmporteerde contactgegevens die zijn opgeslagen in queues om een forecast voor de workload te berekenen. Configureerbare gebeurtenissen, feestdagen of openingstijden beïnvloeden het resultaat van de forecast. Je kunt je forecast ook {% link_new in workloads importeren | features/forecast/injixo-forecast/import-forecast.md %}.",manage-workloads.md
"In workloads, you configure the staff requirements calculation. Staff requirements are needed for scheduling.",In workloads configureer je de berekening van de personeelsbehoefte. De personeelsbehoefte is nodig voor planningsdoeleinden.,manage-workloads.md
New to injixo Forecast? Learn {% link_new the basics | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %} first.,Ben je nog niet zo vertrouwd met injixo Forecast? Maak je dan eerst vertrouwd met de {% link_new basisprincipes | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %}.,manage-workloads.md
## Prerequisites,## Vereisten,manage-workloads.md
- Add {% link_new a native or CSV integration | features/acd-integration/cloud/how-integrations-work.md %} and import historical data for at least one queue.,- Voeg {% link_new een native of CSV-integratie | features/acd-integration/cloud/how-integrations-work.md %} toe en importeer historische gegevens voor minstens een queue.,manage-workloads.md
"- Import offered contacts, average handling time (AHT), and handled contacts. Workloads with multiple queues will need the handled contacts to display the AHT and calculate weighted averages.","- Importeer aangeboden contacten, gemiddelde afhandeltijd (AHT), en afgehandelde contacten. Voor workloads met meerdere queues moet in de afgehandelde contacten de AHT en de berekende gewogen gemiddelden worden weergegeven.",manage-workloads.md
injixo creates queues using the data imported by an integration. The data import interval determines the interval of the queues created from that data. You can only add queues with the same interval to a workload.,injixo maakt queues aan op basis van de gegevens die door een integratie zijn geïmporteerd. Het interval van de gegevensimport bepaalt het interval van de queues die op basis van deze gegevens worden aangemaakt. Je kunt alleen queues met hetzelfde interval aan een workload toevoegen.,manage-workloads.md
## Queues and channels,## Queues en kanalen,manage-workloads.md
"Contact data imported by an integration is stored in queues. These queues are always associated with a channel. When you [create workloads](#create-workloads), you can filter queues by channel to assign them to the workload. Native integrations automatically set the channel for queues. Not all integrations support all channels.","Contactgegevens die door een integratie worden geïmporteerd, worden opgeslagen in queues. Deze queues zijn altijd gekoppeld aan een kanaal. Als je [workloads aanmaakt](#workloads-aanmaken) kun je queues filteren op kanaal en ze aan de workload toevoegen. Native integraties stellen automatisch het kanaal in voor queues. Niet alle integraties ondersteunen alle kanalen.",manage-workloads.md
"For a CSV integration, you need to set the channel manually. You can add a channel per column or select one channel for the file when you {% link_new map the columns | features/acd-integration/cloud/add-csv-integration.md | #map-the-columns %} of a CSV file.",Voor een CSV-integratie moet je het kanaal handmatig instellen. Je kunt een kanaal per kolom toevoegen of één kanaal selecteren voor het bestand wanneer je {% link_new de kolommen van een CSV-bestand toewijst | features/acd-integration/cloud/add-csv-integration.md | #de-kolommen-toewijzen %}.,manage-workloads.md
Integrations support the following channels:,De volgende kanalen worden door integraties ondersteund:,manage-workloads.md
- Calls,- Gesprekken,manage-workloads.md
- Chats,- Chats,manage-workloads.md
- Emails,- E-mails,manage-workloads.md
- Cases,- Cases,manage-workloads.md
- Documents,- Documenten,manage-workloads.md
- Social media,- Sociale media,manage-workloads.md
injixo Forecast groups queues by channel. You can only add queues with the same channel to a workload.,injixo Forecast groepeert queues per kanaal. Je kunt alleen queues met hetzelfde interval aan een workload toevoegen.,manage-workloads.md
## Create workloads,## Workloads aanmaken,manage-workloads.md
